1	">>Przed<< paru jeszcze dziesiątkami lat usiłowania "	prep:inst:nwok	prep:acc:nwok
2	"Przed >>paru<< jeszcze dziesiątkami lat usiłowania i "	num:pl:gen:m3:congr	num:pl:gen:f:congr
6	"Przed paru jeszcze dziesiątkami lat >>usiłowania<< i prace astronomów prawie wyłącznie "	subst:sg:gen:n	subst:pl:acc:n
12	"usiłowania i prace astronomów prawie wyłącznie >>były<< skierowane ku zbadaniu obserwacyą i "	praet:pl:n:imperf:nagl,praet:pl:n:imperf:agl	praet:pl:f:imperf:nagl,praet:pl:f:imperf:agl
13	"i prace astronomów prawie wyłącznie były >>skierowane<< ku zbadaniu obserwacyą i rachunkiem "	ppas:pl:nom:n:perf:aff	ppas:pl:nom:f:perf:aff
16	"prawie wyłącznie były skierowane ku zbadaniu >>obserwacyą<< i rachunkiem zależności ruchów ciał "	ign	subst:sg:dat:n
80	"rozszerzyło i to w kierunkach , >>których<< wówczas najbystrzejsze nawet oko wytknąć "	adj:pl:gen:m3:pos	adj:pl:gen:n:pos
94	"by zdołało . Technika , zawarłszy >>ścisły<< i nierozerwalny sojusz z fizyką "	adj:sg:nom:m3:pos	adj:sg:acc:m3:pos
96	". Technika , zawarłszy ścisły i >>nierozerwalny<< sojusz z fizyką i chemią "	adj:sg:nom:m3:pos	adj:sg:acc:m3:pos
115	"pomocnicze i podniosła metody obserwacyjne do >>precyzyi<< dawniej niedościgłej , a z "	ign	subst:sg:gen:f
127	"postępów tych zaczęła astronomia najprzód zbierać >>bogatsze<< niż przedtem owoce w kierunkach "	adj:pl:nom:f:com	adj:pl:acc:m3:com
144	"poprzednio wytkniętej drodze . Nierównie atoli >>ważniejszym<< i głębiej w rzecz wnikającym "	adj:sg:loc:m3:com	adj:sg:inst:m3:com
147	". Nierównie atoli ważniejszym i głębiej >>w<< rzecz wnikającym jest nowy kierunek "	prep:acc:nwok	prep:loc:nwok
148	"Nierównie atoli ważniejszym i głębiej w >>rzecz<< wnikającym jest nowy kierunek , "	subst:sg:acc:f	subst:sg:nom:f
160	"jaki się teraz zaznaczył . Ze >>szczęśliwego<< mianowicie związku powyż wspomnianych dwóch "	adj:sg:gen:m3:pos	adj:sg:gen:n:pos
255	"bo też tam wielkie i żyzne >>niwy<< do uprawy , które bujnych "	subst:pl:nom:f	subst:pl:acc:f
262	"do uprawy , które bujnych i >>nieznanych<< dotąd owoców każą się spodziewać "	adj:pl:gen:m3:pos	ppas:pl:gen:f:imperf:neg
273	"spodziewać . A chociaż jeszcze teraz >>astrofizyki<< mimo wszystkich jej dotychczasowych zdobyczy "	subst:pl:nom:f	subst:sg:gen:f
275	"A chociaż jeszcze teraz astrofizyki mimo >>wszystkich<< jej dotychczasowych zdobyczy nie można "	adj:pl:gen:f:pos	adj:pl:gen:m1:pos
291	"z astronomią , w ściślejszem słowa >>znaczeniu<< pojmowaną , bo ta , "	subst:sg:loc:n	subst:sg:dat:n
322	"dążeniu , aby spostrzeżenia szły zawsze >>równym<< z postępami teoryi krokiem , "	adj:sg:loc:m3:pos	adj:sg:inst:m3:pos
355	", całkiem słusznie pierwsze miejsce między >>wszystkiemi<< doświadczalnemi umiejętnościami zajmuje , — "	ign	adj:sg:inst:f:pos
356	"całkiem słusznie pierwsze miejsce między wszystkiemi >>doświadczalnemi<< umiejętnościami zajmuje , — to "	ign	adj:sg:inst:f:pos
364	"zajmuje , — to przecież w >>obec<< do dziś zdobytych wyników całkiem "	ign	subst:sg:loc:n
370	"obec do dziś zdobytych wyników całkiem >>uzasadnioną<< jest nadzieja , że także "	adj:sg:inst:f:pos	ppas:sg:inst:f:perf:aff
381	"także i ona odnośnie do ścisłości >>śwych<< badań z biegiem czasu odpowie "	ign	adj:sg:gen:n:pos
387	"śwych badań z biegiem czasu odpowie >>wszystkim<< wymogom tak praktycznym jak i "	adj:pl:dat:m3:pos	adj:pl:dat:f:pos
390	"biegiem czasu odpowie wszystkim wymogom tak >>praktycznym<< jak i teoretycznym , pod "	adj:pl:dat:m3:pos	adj:sg:inst:m3:pos
393	"wszystkim wymogom tak praktycznym jak i >>teoretycznym<< , pod powagą prastarej i "	adj:sg:loc:m3:pos	adj:sg:inst:m3:pos
452	"nauce pod nazwą fotometryi gwiazd ( >>Astrophotometria<< ) ; 2 ) badania "	subst:sg:nom:f	subst:sg:nom:n
470	", a które można uważać jako >>rozszerzenie<< dotychczasowego programu , ograniczającego się "	ger:sg:nom:n:perf:aff	ger:sg:acc:n:perf:aff
478	"programu , ograniczającego się na wyznaczaniu >>ich<< dróg , po części zaś "	ppron3:pl:gen:n:ter:akc:npraep	ppron3:pl:gen:f:ter:akc:npraep
492	"zewnętrznego obrazu i wyglądu , a >>ten<< znów dział nosi nazwę analizy "	adj:sg:nom:m3:pos	adj:sg:nom:m1:pos
501	"nosi nazwę analizy spektralnej ; wreszcie >>najmłodszy<< stosunkowo dział stanowi fotografia nieba "	adj:sg:nom:m1:sup	adj:sg:nom:m3:sup
503	"analizy spektralnej ; wreszcie najmłodszy stosunkowo >>dział<< stanowi fotografia nieba , zajmująca "	subst:pl:gen:n	subst:sg:nom:m3
517	"w ogóle mówiąc , zbieraniem obrazów >>fotograficznych<< sklepienia niebieskiego i ciał na "	adj:pl:gen:m3:pos	adj:pl:gen:n:pos
518	"ogóle mówiąc , zbieraniem obrazów fotograficznych >>sklepienia<< niebieskiego i ciał na niem "	subst:sg:gen:n	subst:pl:nom:n
522	"obrazów fotograficznych sklepienia niebieskiego i ciał >>na<< niem rozsianych . Dla wszystkich "	prep:acc:nwok,prep:acc:wok	prep:loc:wok,prep:loc:nwok
523	"fotograficznych sklepienia niebieskiego i ciał na >>niem<< rozsianych . Dla wszystkich tych "	ign	subst:pl:loc:n
547	"nauka o świetle , i wszystkie >>trzy<< mają już do dziś swych "	num:pl:acc:f:congr	num:pl:nom:f:congr
592	"a da on nam poznać , >>jakto<< ta sztuka , której produkty "	qub:wok,qub:nwok	subst:sg:nom:f
604	"na każdym kroku dzisiaj spotykamy , >>tylko<< z wielkim wysiłkiem pracy i "	conj	qub:wok,qub:nwok
647	"astronomia na wzór mądrego i zapobiegliwego >>gospodarza<< , który wszystkie doświadczenia nabyte "	subst:sg:gen:m1	subst:sg:acc:m1
650	"mądrego i zapobiegliwego gospodarza , który >>wszystkie<< doświadczenia nabyte i ulepszenia na "	adj:pl:acc:n:pos	adj:pl:nom:n:pos
