31	"śmy tego tyle lat , pewnie >>ze<< sto – mówiła , ni "	prep:gen:wok	prep:inst:wok
32	"tego tyle lat , pewnie ze >>sto<< – mówiła , ni to "	num:pl:acc:m3:rec	num:pl:acc:m2:rec
48	"staruszka , upychając pod chustkę nieposłuszne >>kosmyki<< włosów . – I po "	subst:pl:acc:m3	subst:pl:nom:m3
138	"Co do tego zdania w dolinie >>były<< podzielone i wcale nie wszyscy "	praet:pl:f:imperf:nagl,praet:pl:f:imperf:agl	praet:pl:n:imperf:nagl,praet:pl:n:imperf:agl
139	"do tego zdania w dolinie były >>podzielone<< i wcale nie wszyscy myśleli "	ppas:pl:nom:f:perf:aff	ppas:pl:nom:n:perf:aff
143	"dolinie były podzielone i wcale nie >>wszyscy<< myśleli tak jak Lara . "	subst:pl:nom:m1	adj:pl:nom:m1:pos
158	"że przemawiają przez nią nieszczęścia , >>jakich<< doświadczyła . Wiadomo , że "	adj:pl:gen:f:pos	adj:pl:gen:n:pos
175	"będzie tęsknił do czasów , gdy >>go<< jeszcze nie znał . Byli "	ppron3:sg:acc:m1:ter:nakc:npraep	ppron3:sg:gen:m1:ter:nakc:npraep
253	", ale tylko nieliczni widzieli wcześniej >>jakiegoś<< Czeczena na własne oczy . "	adj:sg:acc:m1:pos	adj:sg:gen:m1:pos
262	"własne oczy . – Opowiadano o >>nich<< rozmaitości , jacy to są "	ppron3:pl:loc:m3:ter:akc:praep	ppron3:pl:loc:m1:ter:akc:praep
270	", jacy to są wspaniali , >>waleczni<< , bogaci – mówiła Lara "	subst:pl:nom:m1	adj:pl:nom:m1:pos
293	", że są muzułmanami jak my >>i<< żyją po drugiej stronie góry "	conj	qub:wok,qub:nwok
302	"drugiej stronie góry , ale gdzie >>dokładnie<< , tego już mało kto "	adv:pos	qub:wok,qub:nwok
306	"ale gdzie dokładnie , tego już >>mało<< kto był pewny . Bo "	num:pl:nom:m1:rec	num:pl:nom:n:rec
340	"się powiedzieć . Byli dla nas >>trochę<< jak postaci z baśni , "	adv:pos,adv:com,adv:sup	num:pl:acc:f:rec
344	"dla nas trochę jak postaci z >>baśni<< , jakie się opowiadało dzieciom "	subst:sg:gen:f	subst:pl:gen:f
359	"choć mało kto w dolinie przeszedł >>tyle<< co ona i mało komu "	num:pl:acc:n:rec	num:pl:nom:n:rec
367	"ona i mało komu przyszło doznać >>tyle<< bólu co jej , nie "	num:pl:acc:m3:rec	num:pl:acc:n:rec
369	"mało komu przyszło doznać tyle bólu >>co<< jej , nie narzekała na "	prep:acc:nwok,prep:acc:wok	subst:sg:acc:n
370	"komu przyszło doznać tyle bólu co >>jej<< , nie narzekała na swój "	ppron3:sg:gen:f:ter:akc:npraep	ppron3:sg:dat:f:ter:akc:npraep
405	"mi się słyszeć w jej głosie >>nieśmiałe<< , cichuteńkie nutki skargi , "	adj:pl:nom:m3:pos	adj:pl:nom:f:pos
460	", a może i dwieście lat >>Kistowie<< nie zaprzątali sobie głowy myślami "	ign	subst:pl:nom:m1
464	"dwieście lat Kistowie nie zaprzątali sobie >>głowy<< myślami o tym , kim "	subst:sg:gen:f	subst:pl:acc:f
504	"przeprawili się przez przełęcze Kaukazu na >>jego<< południowe zbocza i znaleźli gościnę "	ppron3:sg:gen:m1:ter:akc:npraep	ppron3:sg:gen:m3:ter:akc:npraep
511	"południowe zbocza i znaleźli gościnę u >>żyjących<< tam gruzińskich książąt . Książęta "	pact:pl:gen:m1:imperf:aff	subst:pl:gen:m1
525	"z otwartymi ramionami i – jak >>to<< Gruzini – podjęli prawdziwie po "	qub:wok,qub:nwok	pred
540	"potem w nagłym przypływie wzruszenia – >>co<< podczas gruzińskich biesiad za zastawionym "	subst:sg:nom:n	subst:sg:acc:n
550	"za zastawionym stołem i z kielichem >>pełnym<< młodego wina zdarza się dość "	adj:sg:inst:m3:pos	adj:sg:inst:n:pos
579	"dolinie na zawsze . Wydzieli się >>im<< ziemię pod nowe domostwa , "	ppron3:pl:dat:m1:ter:akc:npraep	ppron3:pl:dat:m3:ter:akc:npraep
585	"im ziemię pod nowe domostwa , >>poletka<< , ogrody i sady , "	subst:pl:nom:n	subst:pl:acc:n
587	"pod nowe domostwa , poletka , >>ogrody<< i sady , a swoje "	subst:pl:nom:m3	subst:pl:acc:m3
682	"a rzeki i strumienie spływające ze >>skalistych<< zboczy szczodrze poiły tamtejsze pastwiska "	adj:pl:gen:f:pos	adj:pl:gen:n:pos
683	"rzeki i strumienie spływające ze skalistych >>zboczy<< szczodrze poiły tamtejsze pastwiska i "	subst:pl:gen:f	subst:pl:gen:n
686	"spływające ze skalistych zboczy szczodrze poiły >>tamtejsze<< pastwiska i pola . One "	adj:pl:acc:n:pos	adj:pl:nom:n:pos
693	"pastwiska i pola . One zaś >>odwdzięczały<< się urodzajnymi zbiorami wszelkich zbóż "	praet:pl:f:imperf:nagl,praet:pl:f:imperf:agl	praet:pl:m3:imperf:agl,praet:pl:m3:imperf:nagl
714	"i wonnymi ziołami , z których >>wiele<< miało moc uzdrawiania . Bogactwa "	num:pl:nom:n:rec	num:pl:nom:m3:rec
716	"ziołami , z których wiele miało >>moc<< uzdrawiania . Bogactwa Kachetii , "	subst:sg:acc:f	subst:sg:nom:f
719	"których wiele miało moc uzdrawiania . >>Bogactwa<< Kachetii , a może raczej "	subst:sg:gen:n	subst:pl:acc:n
720	"wiele miało moc uzdrawiania . Bogactwa >>Kachetii<< , a może raczej legendy "	subst:sg:gen:f	subst:pl:gen:f
725	"Bogactwa Kachetii , a może raczej >>legendy<< o ich wspaniałościach i nieprzebranej "	subst:pl:nom:f	subst:sg:gen:f
761	"przewalały się przez Kachetię mongolska orda >>Czyngis<< - chana , wojska Tamerlana "	subst:sg:nom:f	subst:sg:nom:m2
777	"Turków . Pokusie rabunku i porywania >>sławnych<< z urody gruzińskich kobiet nie "	adj:pl:gen:f:pos	adj:pl:acc:m1:pos
792	"sąsiedzi Kachetyjczyków , wojowniczy kaukascy górale >>Awarowie<< i Lezgini , a także "	ign	subst:pl:nom:m1
794	", wojowniczy kaukascy górale Awarowie i >>Lezgini<< , a także łupieżcy z "	subst:sg:nom:m1	subst:sg:nom:n
806	"azerbejdżańskich chanatów . Na koniec zaś >>przybyli<< i Rosjanie , władcy północy "	praet:pl:m1:perf:nagl,praet:pl:m1:perf:agl	adj:pl:nom:m1:pos
826	"fosy i obronne wieże , jakimi >>Kachetyjczycy<< otaczali swoje miasta , osady "	ign	subst:pl:nom:m1
831	"jakimi Kachetyjczycy otaczali swoje miasta , >>osady<< i świątynie . Nieustanne napaści "	subst:pl:nom:m3	subst:pl:acc:f
833	"otaczali swoje miasta , osady i >>świątynie<< . Nieustanne napaści i grabieże "	subst:pl:nom:f	subst:pl:acc:f
845	", wyniszczające i pustoszące Kachetię , >>obracały<< ją za każdym razem w "	praet:pl:f:imperf:nagl,praet:pl:f:imperf:agl	praet:pl:m3:imperf:agl,praet:pl:m3:imperf:nagl
876	", którzy obdarowani ziemią , jako >>strażnicy<< doliny , bronili by jej "	subst:pl:nom:m1	subst:sg:gen:f
881	"jako strażnicy doliny , bronili by >>jej<< przed kolejnymi najeźdźcami . Zwolnieni "	ppron3:sg:gen:f:ter:akc:npraep	ppron3:sg:dat:f:ter:akc:npraep
938	"wąwozów zaczęli ściągać przybysze . Nie >>jedynych<< Kistów skusiła obietnica dni spędzanych "	adj:pl:gen:f:pos	adj:pl:gen:m1:pos
954	". Na wezwanie kachetyjskich książąt pierwsi >>przybyli<< gruzińscy górale . Mieli najbliżej "	praet:pl:m1:perf:nagl,praet:pl:m1:perf:agl	adj:pl:nom:m1:pos
969	"krewni byli także najmilej widziani . >>Kachetyjczyków<< najbardziej ucieszył widok Chewsurów . "	subst:sg:nom:m1	subst:pl:gen:m1
976	"najbardziej ucieszył widok Chewsurów . Nosili >>stroje<< przypominające rycerskie kolczugi . Mieli "	subst:pl:acc:m3	subst:pl:nom:m3
977	"ucieszył widok Chewsurów . Nosili stroje >>przypominające<< rycerskie kolczugi . Mieli też "	pact:pl:acc:m3:imperf:aff	pact:pl:nom:m3:imperf:aff
985	"kolczugi . Mieli też zwyczaj zdobić >>je<< znakami krzyża . Z tej "	ppron3:pl:acc:m3:ter:akc:npraep	ppron3:pl:acc:f:ter:akc:npraep
1007	"upodobania do wszelkiego oręża mówiono o >>Chewsurach<< , że są potomkami dawnych "	ign	subst:pl:loc:n
1067	"Grecy , Osetyjczycy , a nawet >>budzący<< trwogę na całym Kaukazie , "	pact:sg:nom:m1:imperf:aff	pact:sg:acc:m3:imperf:aff
