"ID" "CONTEXT" "NKJP" "Pantera" "WMBT" "WCRFT" "Concraft"
1 ">>ZNOWU<< JESTEM ! Nie miał czasu " "adv:pos,adv:com,adv:sup" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok"
61 "że mamy teraz takie za przeproszeniem >>tujowe<< zajęcia że że to jest " "adj:pl:acc:n:pos" "ign" "ign" "subst:sg:gen:n" "adv:pos"
103 "– no ale to mówię nie >>w<< w ogóle jakaś droga która " "prep:loc:nwok" "ign" "ign" "subst:pl:nom:m1" "xxx"
138 ". - Z tego co wiem >>to<< wówczas obowiązywały specyficzne praktyki studenckie " "conj" "subst:sg:acc:n" "subst:sg:nom:n" "qub:wok,qub:nwok" "qub:wok,qub:nwok"
150 "? - Zgadza się . Wspólnie >>m.in<< . z więźniami wykonywali śmy " "brev:pun" "brev:npun" "brev:pun" "brev:pun" "brev:pun"
179 "i sunęła naprzeciw niego spokojnie i >>pewnie<< . Ale choć deszczowe chmury " "adv:pos" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok"
290 "2 ) w art . 16 >>ust<< . 4a otrzymuje brzmienie : " "brev:pun" "subst:pl:gen:n" "subst:pl:gen:n" "subst:pl:gen:n" "subst:pl:gen:n"
326 ". &quot; . Obecnie za dwa >>kilo<< kiełbasy trzeba w Mińsku zapłacić " "subst:sg:acc:n" "subst:pl:acc:n" "subst:pl:acc:n" "subst:pl:acc:n" "subst:pl:acc:n"
346 "pomiarową natężenia PM jest ersted ( >>Oe<< ) , ale stosowane są " "brev:npun" "ign" "ign" "subst:sg:nom:m3" "subst:sg:nom:m3"
355 "ale stosowane są też gaus ( >>Gs<< ) lub tesla ( T " "brev:npun" "subst:sg:nom:f" "subst:sg:nom:m3" "subst:sg:nom:m3" "subst:sg:nom:m3"
360 "( Gs ) lub tesla ( >>T<< ) . Zaprawdę , powiadam " "brev:npun" "brev:pun" "brev:pun" "brev:pun" "brev:pun"
389 "się one waszymi narodowymi językami . >>Dochodzenie<< w sprawie wypadku wszczęła Prokuratura " "subst:sg:acc:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:nom:n"
463 "niezupełnie tak : skręcił em w >>lewo<< , bo doszedł em do " "adjp" "adv:pos" "adv:pos" "adv:pos" "adv:pos"
547 "To już koniec . &quot; Teraz >>go<< za darmo nie wezmą &quot; " "ppron3:sg:acc:m3:ter:nakc:npraep" "ppron3:sg:gen:m1:ter:nakc:npraep" "ppron3:sg:acc:m1:ter:nakc:npraep" "ppron3:sg:acc:m1:ter:nakc:npraep" "ppron3:sg:acc:m1:ter:nakc:npraep"
559 ", myśli i zabiera narzędzia . >>Stop-klatka<< . &quot; A jeśli Kryst " "subst:sg:nom:f" "subst:sg:nom:m3" "subst:sg:nom:m3" "subst:sg:nom:m3" "subst:sg:nom:m3"
564 ". Stop-klatka . &quot; A jeśli >>Kryst<< . ? &quot; , myśli " "brev:pun" "subst:sg:nom:m1" "subst:sg:nom:m1" "subst:sg:nom:m1" "subst:sg:nom:m1"
590 "był potrzebny . Mówi , że >>właściwie<< nawet lepiej mu się grało " "qub:wok,qub:nwok" "adv:pos" "adv:pos" "adv:pos" "adv:pos"
616 "już mu nie przeszkadzały , nie >>rozpraszały<< tego skupienia ; zawsze i " "praet:pl:m3:imperf:agl,praet:pl:m3:imperf:nagl" "praet:pl:f:imperf:nagl,praet:pl:f:imperf:agl" "praet:pl:f:imperf:nagl,praet:pl:f:imperf:agl" "praet:pl:f:imperf:nagl,praet:pl:f:imperf:agl" "praet:pl:f:imperf:nagl,praet:pl:f:imperf:agl"
651 "275 m wysokości ( z iglicą >>323<< m ) i jest najwyższym " "num:pl:acc:m3:rec" "ign" "ign" "num:pl:gen:m3:congr" "num:pl:gen:m3:congr"
672 "1923 r . Pachniało świerczyną , >>grzybami<< i zesmażonym olejem , gdy " "subst:pl:inst:m2" "subst:pl:inst:m3" "subst:pl:inst:m1" "subst:pl:inst:m1" "subst:pl:inst:m3"
726 "( nie strukturalne ) nie jest >>wada<< lecz zaleta . A jest " "subst:sg:inst:f" "subst:sg:nom:f" "subst:sg:nom:f" "subst:sg:nom:f" "subst:sg:nom:f"
728 "strukturalne ) nie jest wada lecz >>zaleta<< . A jest ktoś w " "subst:sg:inst:f" "subst:sg:nom:f" "subst:sg:nom:f" "subst:sg:nom:f" "subst:sg:nom:f"
749 "ogólnoświatowego długu w dolarach ? Czyli >>ile<< USA dolców jest winne innym " "num:pl:acc:m2:rec" "num:pl:acc:m3:rec" "num:pl:acc:n:rec" "num:pl:nom:n:rec" "num:pl:nom:n:rec"
750 "długu w dolarach ? Czyli ile >>USA<< dolców jest winne innym , " "subst:sg:nom:n" "subst:pl:gen:n" "subst:pl:gen:n" "subst:pl:gen:n" "subst:pl:gen:n"
757 "dolców jest winne innym , a >>ile<< inni USA ? Przykład drobny " "num:pl:acc:m2:rec" "num:pl:acc:m3:rec" "num:pl:acc:n:rec" "num:pl:nom:m1:rec" "num:pl:nom:n:rec"
758 "jest winne innym , a ile >>inni<< USA ? Przykład drobny , " "subst:pl:nom:m1" "adj:pl:nom:m1:pos" "adj:pl:nom:m1:pos" "adj:pl:nom:m1:pos" "adj:pl:nom:m1:pos"
759 "winne innym , a ile inni >>USA<< ? Przykład drobny , lecz " "subst:sg:dat:n" "subst:pl:nom:n" "subst:pl:gen:n" "subst:pl:gen:n" "subst:pl:nom:n"
827 "dyskusji nad tym punktem porządku dziennego >>5-minutowych<< oświadczeń w imieniu klubów i " "adj:pl:gen:n:pos" "ign" "ign" "num:pl:gen:m3:congr" "num:pl:nom:m3:rec"
838 "i kół . - Przemawiała pani >>poseł<< Maria Stolzman . ( Oklaski " "subst:sg:nom:f" "subst:sg:nom:m1" "subst:sg:nom:m1" "subst:sg:nom:m1" "subst:sg:nom:m1"
982 "ustawie o ochronie granicy państwowej , >>jak<< również w innych przepisach prawa " "conj" "adv:pos" "adv:pos" "adv:pos" "adv:pos,adv:com,adv:sup"
983 "o ochronie granicy państwowej , jak >>również<< w innych przepisach prawa . " "conj" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok" "qub:wok,qub:nwok"
1018 "wniosku o oddalenie orzeczenia Trybunału Konstytucyjnego >>stwierdzającego<< niezgodność przepisu art . 10 " "pact:sg:gen:n:imperf:aff" "pact:sg:gen:m3:imperf:aff" "pact:sg:gen:m3:imperf:aff" "pact:sg:gen:m3:imperf:aff" "pact:sg:gen:m3:imperf:aff"
1023 "Konstytucyjnego stwierdzającego niezgodność przepisu art . >>10<< ust . 1 pkt 2 " "adj:sg:gen:m3:pos" "ign" "ign" "adj:sg:gen:n:pos" "adj:pl:gen:n:pos"
1024 "stwierdzającego niezgodność przepisu art . 10 >>ust<< . 1 pkt 2 ustawy " "brev:pun" "subst:pl:gen:n" "subst:pl:gen:n" "subst:pl:gen:n" "subst:pl:gen:n"
1037 "ubezpieczeniu społecznym rolników z art . >>1<< i art . 67 ust " "adj:sg:inst:m3:pos" "ign" "ign" "adj:sg:loc:m3:pos" "adj:sg:loc:m3:pos"
1041 "art . 1 i art . >>67<< ust . 2 przepisów konstytucyjnych " "adj:sg:inst:m3:pos" "ign" "ign" "adj:sg:gen:n:pos" "adj:sg:loc:m3:pos"
1042 ". 1 i art . 67 >>ust<< . 2 przepisów konstytucyjnych utrzymanych " "brev:pun" "subst:pl:gen:n" "subst:pl:gen:n" "subst:pl:gen:n" "subst:pl:gen:n"
1169 "poprawkę Senatu do art . 167 >>ust<< . 3 bezwzględną większością głosów " "brev:pun" "subst:pl:gen:n" "subst:pl:gen:n" "subst:pl:gen:n" "subst:pl:gen:n"
1185 "zewnętrzna zmiana obrazu składu sędziowskiego jest >>właściwie<< tylko dopełnieniem zasadniczych zmian , " "qub:wok,qub:nwok" "adv:pos" "adv:pos" "adv:pos" "adv:pos"
1239 "nr 1 , dotyczącej art . >>1<< ust . 2 pkt 3 " "adj:sg:gen:m3:pos" "ign" "ign" "adj:sg:gen:n:pos" "adj:sg:loc:m3:pos"
1240 "1 , dotyczącej art . 1 >>ust<< . 2 pkt 3 , " "brev:pun" "subst:pl:gen:n" "subst:pl:gen:n" "subst:pl:gen:n" "subst:pl:gen:n"
1273 "ktoś zadzwoni – dolać ci tam >>trochę<< jeszcze co nie chcesz ? " "num:pl:acc:m3:rec" "adv:pos,adv:com,adv:sup" "adv:pos,adv:com,adv:sup" "adv:pos,adv:com,adv:sup" "adv:pos,adv:com,adv:sup"
1275 "– dolać ci tam trochę jeszcze >>co<< nie chcesz ? – nie " "qub:wok,qub:nwok" "subst:sg:acc:n" "subst:sg:nom:n" "subst:sg:nom:n" "subst:sg:gen:n"
